"providerId","utcStartTime","status","compSeason.shortName","round.name","round.roundNumber","venue.name","home.team.name","home.team.club.name","away.team.name","away.team.club.name","player.jumperNumber","player.photoURL","player.player.position","player.player.player.playerId","player.player.player.captain","player.player.player.playerJumperNumber","player.player.player.givenName","player.player.player.surname","teamId","gamesPlayed","timeOnGroundPercentage","goals","behinds","superGoals","kicks","handballs","disposals","marks","bounces","tackles","contestedPossessions","uncontestedPossessions","totalPossessions","inside50s","marksInside50","contestedMarks","hitouts","onePercenters","disposalEfficiency","clangers","freesFor","freesAgainst","dreamTeamPoints","rebound50s","goalAssists","goalAccuracy","ratingPoints","ranking","lastUpdated","turnovers","intercepts","tacklesInside50","shotsAtGoal","goalEfficiency","shotEfficiency","interchangeCounts","scoreInvolvements","metresGained","clearances.centreClearances","clearances.stoppageClearances","clearances.totalClearances","extendedStats.effectiveKicks","extendedStats.kickEfficiency","extendedStats.kickToHandballRatio","extendedStats.effectiveDisposals","extendedStats.marksOnLead","extendedStats.interceptMarks","extendedStats.contestedPossessionRate","extendedStats.hitoutsToAdvantage","extendedStats.hitoutWinPercentage","extendedStats.hitoutToAdvantageRate","extendedStats.groundBallGets","extendedStats.f50GroundBallGets","extendedStats.scoreLaunches","extendedStats.pressureActs","extendedStats.defHalfPressureActs","extendedStats.spoils","extendedStats.ruckContests","extendedStats.contestDefOneOnOnes","extendedStats.contestDefLosses","extendedStats.contestDefLossPercentage","extendedStats.contestOffOneOnOnes","extendedStats.contestOffWins","extendedStats.contestOffWinsPercentage","extendedStats.centreBounceAttendances","extendedStats.kickins","extendedStats.kickinsPlayon","player.playerId","player.captain","player.playerJumperNumber","player.givenName","player.surname","teamStatus","team.name","match_date","match_year","match_year_round","player.fullName"
"CD_M20250140601","2025-04-17T09:30:00.000+0000","CONCLUDED","Premiership","Round 6",6,"Gabba","Brisbane Lions","Brisbane Lions","Collingwood","Collingwood",3,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1023708.png?im=Scale,width=0.6,height=0.6","INT","CD_I1023708",FALSE,3,"Jaspa","Fletcher","CD_T20",NA,77,0,0,NA,11,7,18,6,0,2,7,8,15,1,0,0,0,0,77.8,1,0,1,70,5,1,0,10.3,NA,NA,3,6,0,0,NA,NA,NA,3,377,0,0,0,9,81.8,1.6,14,0,0,46.7,0,0,0,7,0,1,8,2,0,0,0,0,0,0,0,0,0,3,3,"CD_I1023708",FALSE,3,"Jaspa","Fletcher","home","Brisbane Lions",2025-04-17,2025,202506,"Jaspa Fletcher"
"CD_M20250140601","2025-04-17T09:30:00.000+0000","CONCLUDED","Premiership","Round 6",6,"Gabba","Brisbane Lions","Brisbane Lions","Collingwood","Collingwood",30,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/993953.png?im=Scale,width=0.6,height=0.6","CHF","CD_I993953",FALSE,30,"Eric","Hipwood","CD_T20",NA,87,2,1,NA,10,3,13,5,0,2,5,8,13,3,3,0,0,3,61.5,5,2,2,68,0,0,50,4,NA,NA,4,1,2,4,NA,NA,NA,6,319,0,0,0,6,60,3.3,8,1,0,38.5,0,0,0,3,0,0,5,0,3,1,0,0,0,0,0,0,0,0,0,"CD_I993953",FALSE,30,"Eric","Hipwood","home","Brisbane Lions",2025-04-17,2025,202506,"Eric Hipwood"
"CD_M20250140601","2025-04-17T09:30:00.000+0000","CONCLUDED","Premiership","Round 6",6,"Gabba","Brisbane Lions","Brisbane Lions","Collingwood","Collingwood",35,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/291548.png?im=Scale,width=0.6,height=0.6","BPR","CD_I291548",FALSE,35,"Ryan","Lester","CD_T20",NA,84,0,0,NA,9,4,13,7,0,1,1,12,13,0,0,0,0,1,92.3,1,2,0,62,4,0,0,6.4,NA,NA,0,1,0,0,NA,NA,NA,1,221,0,0,0,8,88.9,2.3,12,0,1,7.7,0,0,0,1,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,"CD_I291548",FALSE,35,"Ryan","Lester","home","Brisbane Lions",2025-04-17,2025,202506,"Ryan Lester"
"CD_M20250140601","2025-04-17T09:30:00.000+0000","CONCLUDED","Premiership","Round 6",6,"Gabba","Brisbane Lions","Brisbane Lions","Collingwood","Collingwood",20,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1028520.png?im=Scale,width=0.6,height=0.6","SUB","CD_I1028520",FALSE,20,"Sam","Marshall","CD_T20",NA,22,0,0,NA,5,1,6,2,0,0,2,4,6,1,0,0,0,0,50,1,0,0,23,3,0,0,3.7,NA,NA,3,1,0,0,NA,NA,NA,1,138,0,1,1,2,40,5,3,0,0,33.3,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1028520",FALSE,20,"Sam","Marshall","home","Brisbane Lions",2025-04-17,2025,202506,"Sam Marshall"
"CD_M20250140601","2025-04-17T09:30:00.000+0000","CONCLUDED","Premiership","Round 6",6,"Gabba","Brisbane Lions","Brisbane Lions","Collingwood","Collingwood",6,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1000978.png?im=Scale,width=0.6,height=0.6","HFFR","CD_I1000978",FALSE,6,"Hugh","McCluggage","CD_T20",NA,86,0,0,NA,9,11,20,4,0,1,7,13,20,2,0,0,0,0,75,4,0,1,62,0,0,0,10.2,NA,NA,3,2,0,0,NA,NA,NA,4,212,1,1,2,5,55.6,0.8,15,1,0,35,0,0,0,6,0,1,24,13,0,0,0,0,0,0,0,0,19,0,0,"CD_I1000978",FALSE,6,"Hugh","McCluggage","home","Brisbane Lions",2025-04-17,2025,202506,"Hugh McCluggage"
"CD_M20250140601","2025-04-17T09:30:00.000+0000","CONCLUDED","Premiership","Round 6",6,"Gabba","Brisbane Lions","Brisbane Lions","Collingwood","Collingwood",46,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1005521.png?im=Scale,width=0.6,height=0.6","RK","CD_I1005521",FALSE,46,"Oscar","McInerney","CD_T20",NA,82,2,0,NA,10,3,13,4,0,0,7,6,13,3,2,0,17,3,53.8,2,2,2,73,0,0,66.7,9.2,NA,NA,3,2,0,3,NA,NA,NA,6,257,2,3,5,4,40,3.3,7,0,1,53.8,4,27.4,23.5,3,0,3,8,5,2,62,1,0,0,1,0,0,20,0,0,"CD_I1005521",FALSE,46,"Oscar","McInerney","home","Brisbane Lions",2025-04-17,2025,202506,"Oscar McInerney"
"CD_M20250140601","2025-04-17T09:30:00.000+0000","CONCLUDED","Premiership","Round 6",6,"Gabba","Brisbane Lions","Brisbane Lions","Collingwood","Collingwood",13,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1028019.png?im=Scale,width=0.6,height=0.6","FF","CD_I1028019",FALSE,13,"Logan","Morris","CD_T20",NA,77,0,1,NA,5,5,10,3,0,0,4,6,10,3,0,1,0,1,80,0,1,0,36,0,0,0,4.5,NA,NA,1,0,0,1,NA,NA,NA,4,106,0,0,0,4,80,1,8,1,0,40,0,0,0,2,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0,"CD_I1028019",FALSE,13,"Logan","Morris","home","Brisbane Lions",2025-04-17,2025,202506,"Logan Morris"
"CD_M20250140601","2025-04-17T09:30:00.000+0000","CONCLUDED","Premiership","Round 6",6,"Gabba","Brisbane Lions","Brisbane Lions","Collingwood","Collingwood",9,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/293535.png?im=Scale,width=0.6,height=0.6","R","CD_I293535",FALSE,9,"Lachie","Neale","CD_T20",NA,89,0,0,NA,10,15,25,5,0,1,11,14,25,4,0,1,0,0,72,2,0,0,79,2,0,0,12.4,NA,NA,3,2,0,0,NA,NA,NA,4,211,2,2,4,7,70,0.7,18,1,0,44,0,0,0,10,0,0,18,13,0,0,0,0,0,0,0,0,22,0,0,"CD_I293535",FALSE,9,"Lachie","Neale","home","Brisbane Lions",2025-04-17,2025,202506,"Lachie Neale"
"CD_M20250140601","2025-04-17T09:30:00.000+0000","CONCLUDED","Premiership","Round 6",6,"Gabba","Brisbane Lions","Brisbane Lions","Collingwood","Collingwood",40,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1002347.png?im=Scale,width=0.6,height=0.6","FB","CD_I1002347",FALSE,40,"Jack","Payne","CD_T20",NA,93,0,0,NA,10,2,12,5,0,0,2,8,10,0,0,1,0,6,100,3,0,1,46,1,0,0,4.8,NA,NA,0,7,0,0,NA,NA,NA,3,150,0,0,0,10,100,5,12,0,3,20,0,0,0,1,0,1,1,1,6,0,2,1,50,0,0,0,0,0,0,"CD_I1002347",FALSE,40,"Jack","Payne","home","Brisbane Lions",2025-04-17,2025,202506,"Jack Payne"
"CD_M20250140601","2025-04-17T09:30:00.000+0000","CONCLUDED","Premiership","Round 6",6,"Gabba","Brisbane Lions","Brisbane Lions","Collingwood","Collingwood",16,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1002235.png?im=Scale,width=0.6,height=0.6","FPL","CD_I1002235",FALSE,16,"Cam","Rayner","CD_T20",NA,81,2,2,NA,7,2,9,3,0,0,4,4,8,1,2,2,0,3,77.8,0,3,0,51,0,0,50,8.9,NA,NA,0,0,0,4,NA,NA,NA,4,145,0,0,0,5,71.4,3.5,7,1,0,50,0,0,0,0,0,0,7,2,2,0,0,0,0,0,0,0,3,0,0,"CD_I1002235",FALSE,16,"Cam","Rayner","home","Brisbane Lions",2025-04-17,2025,202506,"Cam Rayner"
