"providerId","utcStartTime","status","compSeason.shortName","round.name","round.roundNumber","venue.name","home.team.name","home.team.club.name","away.team.name","away.team.club.name","player.jumperNumber","player.photoURL","player.player.position","player.player.player.playerId","player.player.player.captain","player.player.player.playerJumperNumber","player.player.player.givenName","player.player.player.surname","teamId","gamesPlayed","timeOnGroundPercentage","goals","behinds","superGoals","kicks","handballs","disposals","marks","bounces","tackles","contestedPossessions","uncontestedPossessions","totalPossessions","inside50s","marksInside50","contestedMarks","hitouts","onePercenters","disposalEfficiency","clangers","freesFor","freesAgainst","dreamTeamPoints","rebound50s","goalAssists","goalAccuracy","ratingPoints","ranking","lastUpdated","turnovers","intercepts","tacklesInside50","shotsAtGoal","goalEfficiency","shotEfficiency","interchangeCounts","scoreInvolvements","metresGained","clearances.centreClearances","clearances.stoppageClearances","clearances.totalClearances","extendedStats.effectiveKicks","extendedStats.kickEfficiency","extendedStats.kickToHandballRatio","extendedStats.effectiveDisposals","extendedStats.marksOnLead","extendedStats.interceptMarks","extendedStats.contestedPossessionRate","extendedStats.hitoutsToAdvantage","extendedStats.hitoutWinPercentage","extendedStats.hitoutToAdvantageRate","extendedStats.groundBallGets","extendedStats.f50GroundBallGets","extendedStats.scoreLaunches","extendedStats.pressureActs","extendedStats.defHalfPressureActs","extendedStats.spoils","extendedStats.ruckContests","extendedStats.contestDefOneOnOnes","extendedStats.contestDefLosses","extendedStats.contestDefLossPercentage","extendedStats.contestOffOneOnOnes","extendedStats.contestOffWins","extendedStats.contestOffWinsPercentage","extendedStats.centreBounceAttendances","extendedStats.kickins","extendedStats.kickinsPlayon","player.playerId","player.captain","player.playerJumperNumber","player.givenName","player.surname","teamStatus","extendedStats","team.name","match_date","match_year","match_year_round","player.fullName"
"CD_M20230141303","2023-06-10T03:45:00.000+0000","CONCLUDED","Premiership","Round 13",13,"MCG","Hawthorn","Hawthorn","Brisbane Lions","Brisbane Lions",9,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/293535.png?im=Scale,width=0.6,height=0.6","R","CD_I293535",FALSE,9,"Lachie","Neale","CD_T20",NA,87,0,1,NA,15,15,30,14,0,3,9,20,29,4,1,0,0,0,76.7,2,0,2,124,3,0,0,7.9,NA,NA,8,3,0,1,NA,NA,NA,6,397,1,4,5,10,66.7,1,23,0,2,31,0,0,0,7,3,1,20,10,0,0,0,0,0,0,0,0,22,0,0,"CD_I293535",FALSE,9,"Lachie","Neale","away",NA,"Brisbane Lions",2023-06-10,2023,202313,"Lachie Neale"
"CD_M20230141303","2023-06-10T03:45:00.000+0000","CONCLUDED","Premiership","Round 13",13,"MCG","Hawthorn","Hawthorn","Brisbane Lions","Brisbane Lions",31,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/996059.png?im=Scale,width=0.6,height=0.6","CHB","CD_I996059",FALSE,31,"Harris","Andrews","CD_T20",NA,94,0,0,NA,10,6,16,7,0,3,4,9,13,1,0,1,0,9,81.3,1,3,0,78,5,0,0,12.5,NA,NA,2,12,0,0,NA,NA,NA,2,269,0,0,0,7,70,1.7,13,0,5,30.8,0,0,0,2,0,2,9,8,9,0,3,1,33.3,0,0,0,0,1,1,"CD_I996059",FALSE,31,"Harris","Andrews","away",NA,"Brisbane Lions",2023-06-10,2023,202313,"Harris Andrews"
"CD_M20230141303","2023-06-10T03:45:00.000+0000","CONCLUDED","Premiership","Round 13",13,"MCG","Hawthorn","Hawthorn","Brisbane Lions","Brisbane Lions",7,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/998133.png?im=Scale,width=0.6,height=0.6","WL","CD_I998133",FALSE,7,"Jarrod","Berry","CD_T20",NA,86,0,0,NA,8,7,15,3,0,6,7,7,14,0,0,0,0,1,73.3,0,0,0,71,3,0,0,7.7,NA,NA,1,3,2,0,NA,NA,NA,1,147,0,3,3,5,62.5,1.1,11,0,0,50,0,0,0,7,1,0,25,15,1,0,0,0,0,0,0,0,6,0,0,"CD_I998133",FALSE,7,"Jarrod","Berry","away",NA,"Brisbane Lions",2023-06-10,2023,202313,"Jarrod Berry"
"CD_M20230141303","2023-06-10T03:45:00.000+0000","CONCLUDED","Premiership","Round 13",13,"MCG","Hawthorn","Hawthorn","Brisbane Lions","Brisbane Lions",8,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1023517.png?im=Scale,width=0.6,height=0.6","INT","CD_I1023517",FALSE,8,"Will","Ashcroft","CD_T20",NA,77,1,0,NA,9,11,20,1,1,4,5,15,20,0,0,0,0,0,75,2,0,0,74,1,0,100,12,NA,NA,3,0,0,1,NA,NA,NA,5,250,0,1,1,6,66.7,0.8,15,0,0,25,0,0,0,4,1,1,14,7,0,0,0,0,0,0,0,0,10,0,0,"CD_I1023517",FALSE,8,"Will","Ashcroft","away",NA,"Brisbane Lions",2023-06-10,2023,202313,"Will Ashcroft"
"CD_M20230141303","2023-06-10T03:45:00.000+0000","CONCLUDED","Premiership","Round 13",13,"MCG","Hawthorn","Hawthorn","Brisbane Lions","Brisbane Lions",6,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1000978.png?im=Scale,width=0.6,height=0.6","WR","CD_I1000978",FALSE,6,"Hugh","McCluggage","CD_T20",NA,65,0,0,NA,11,7,18,2,0,8,8,11,19,3,1,1,0,1,50,4,2,2,81,3,1,0,7.3,NA,NA,8,4,3,0,NA,NA,NA,4,311,1,1,2,4,36.4,1.6,9,0,0,42.1,0,0,0,5,1,1,20,8,0,0,0,0,0,1,0,0,8,0,0,"CD_I1000978",FALSE,6,"Hugh","McCluggage","away",NA,"Brisbane Lions",2023-06-10,2023,202313,"Hugh McCluggage"
"CD_M20230141303","2023-06-10T03:45:00.000+0000","CONCLUDED","Premiership","Round 13",13,"MCG","Hawthorn","Hawthorn","Brisbane Lions","Brisbane Lions",44,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1017067.png?im=Scale,width=0.6,height=0.6","HBFL","CD_I1017067",FALSE,44,"Darcy","Wilmot","CD_T20",NA,77,0,0,NA,10,8,18,3,2,4,6,13,19,2,0,0,0,2,77.8,4,0,1,68,4,1,0,15.2,NA,NA,5,5,0,0,NA,NA,NA,2,403,0,3,3,7,70,1.3,14,0,2,31.6,0,0,0,6,1,1,24,19,2,0,0,0,0,0,0,0,0,1,1,"CD_I1017067",FALSE,44,"Darcy","Wilmot","away",NA,"Brisbane Lions",2023-06-10,2023,202313,"Darcy Wilmot"
"CD_M20230141402","2023-06-16T09:50:00.000+0000","CONCLUDED","Premiership","Round 14",14,"Gabba","Brisbane Lions","Brisbane Lions","Sydney Swans","Sydney Swans",4,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/298437.png?im=Scale,width=0.6,height=0.6","SUB","CD_I298437",FALSE,4,"Callum","Ah Chee","CD_T20",NA,11,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I298437",FALSE,4,"Callum","Ah Chee","home",NA,"Brisbane Lions",2023-06-16,2023,202314,"Callum Ah Chee"
"CD_M20230141402","2023-06-16T09:50:00.000+0000","CONCLUDED","Premiership","Round 14",14,"Gabba","Brisbane Lions","Brisbane Lions","Sydney Swans","Sydney Swans",31,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/996059.png?im=Scale,width=0.6,height=0.6","CHB","CD_I996059",FALSE,31,"Harris","Andrews","CD_T20",NA,96,0,0,NA,6,1,7,2,0,0,1,5,6,1,0,0,0,10,71.4,0,1,0,27,2,0,0,6.3,NA,NA,0,4,0,0,NA,NA,NA,1,67,0,0,0,5,83.3,6,5,0,1,16.7,0,0,0,0,0,0,3,3,10,0,3,0,0,0,0,0,0,1,0,"CD_I996059",FALSE,31,"Harris","Andrews","home",NA,"Brisbane Lions",2023-06-16,2023,202314,"Harris Andrews"
"CD_M20230141402","2023-06-16T09:50:00.000+0000","CONCLUDED","Premiership","Round 14",14,"Gabba","Brisbane Lions","Brisbane Lions","Sydney Swans","Sydney Swans",8,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1023517.png?im=Scale,width=0.6,height=0.6","HFFR","CD_I1023517",FALSE,8,"Will","Ashcroft","CD_T20",NA,80,0,1,NA,8,15,23,1,0,4,16,7,23,2,0,0,0,1,60.9,4,0,1,71,3,0,0,11.5,NA,NA,3,4,1,1,NA,NA,NA,6,131,3,6,9,2,25,0.5,14,0,0,69.6,0,0,0,13,0,5,20,10,0,0,0,0,0,0,0,0,21,0,0,"CD_I1023517",FALSE,8,"Will","Ashcroft","home",NA,"Brisbane Lions",2023-06-16,2023,202314,"Will Ashcroft"
"CD_M20230141402","2023-06-16T09:50:00.000+0000","CONCLUDED","Premiership","Round 14",14,"Gabba","Brisbane Lions","Brisbane Lions","Sydney Swans","Sydney Swans",33,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1002312.png?im=Scale,width=0.6,height=0.6","C","CD_I1002312",FALSE,33,"Zac","Bailey","CD_T20",NA,77,2,3,NA,17,9,26,3,0,6,9,17,26,7,1,0,0,0,69.2,5,1,2,112,1,1,33.3,20.6,NA,NA,5,1,1,6,NA,NA,NA,11,695,1,2,3,10,58.8,1.9,18,0,0,34.6,0,0,0,5,2,0,16,8,0,0,0,0,0,0,0,0,13,0,0,"CD_I1002312",FALSE,33,"Zac","Bailey","home",NA,"Brisbane Lions",2023-06-16,2023,202314,"Zac Bailey"
